MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
09/01/2022 06:00:00,5492.926,578.769,844.744,107.111,273.164,1700.003,414.256,970.176,2891.825,4285.717,1544.875,727.015,352.595,3463.629,3532.017,1109.161,3699.886
09/01/2022 07:00:00,5207.127,548.708,868.464,98.400,265.597,1612.570,385.311,905.827,2808.264,4027.701,1463.914,674.434,329.463,3379.306,3479.535,1059.105,3478.975
09/01/2022 08:00:00,5019.950,519.681,892.776,93.090,252.345,1541.378,363.160,864.026,2725.213,3831.904,1412.705,662.716,316.204,3328.517,3422.030,1021.966,3341.371
09/01/2022 09:00:00,4901.052,505.670,904.124,92.540,253.768,1488.467,345.491,839.561,2718.118,3742.250,1386.467,658.576,310.771,3437.593,3365.868,1003.551,3266.432
09/01/2022 10:00:00,4887.972,513.705,903.652,90.942,251.965,1484.379,343.674,840.467,2716.800,3725.801,1382.315,650.366,314.383,3413.939,3363.612,991.100,3250.320
09/01/2022 11:00:00,5002.305,540.039,850.324,94.272,258.851,1522.906,357.144,871.649,2754.256,3767.857,1422.498,662.496,331.507,3466.070,3433.403,998.759,3372.241
09/01/2022 12:00:00,5273.544,585.577,870.154,100.260,270.417,1639.370,398.963,943.149,2864.817,3968.594,1515.891,686.540,359.768,3557.411,3616.840,1034.848,3631.150
09/01/2022 13:00:00,5410.556,608.881,895.680,103.022,277.155,1730.682,429.041,987.259,2943.241,4093.447,1578.246,721.557,380.468,3638.244,3766.363,1044.204,3794.550
09/01/2022 14:00:00,5682.282,643.901,920.966,108.259,282.188,1815.382,444.882,1035.635,2995.198,4197.046,1637.036,736.959,410.915,3644.125,3848.759,1068.314,3946.261
09/01/2022 15:00:00,6043.337,697.207,869.954,115.833,297.907,1965.566,454.246,1085.579,3089.589,4320.186,1728.821,760.987,442.710,3720.750,3924.013,1106.839,4129.573
09/01/2022 16:00:00,6493.746,756.672,905.126,129.854,315.860,2169.469,463.588,1178.356,3208.425,4423.058,1865.251,786.675,479.305,3833.757,4056.255,1141.110,4481.529
09/01/2022 17:00:00,6977.218,817.100,943.318,148.154,339.395,2362.919,471.971,1295.580,3304.193,4484.974,1926.890,826.511,516.504,3936.822,4162.451,1167.824,4823.039
09/01/2022 18:00:00,7279.015,877.907,976.004,166.880,358.513,2541.542,492.551,1402.255,3375.303,4567.415,1963.097,874.967,554.543,4056.034,4262.910,1183.520,5160.924
09/01/2022 19:00:00,7440.834,921.978,993.022,183.838,375.561,2701.257,529.176,1474.336,3393.037,4671.237,2002.122,921.229,596.304,4160.320,4370.377,1201.778,5445.688
09/01/2022 20:00:00,7443.343,952.435,980.798,196.501,386.118,2805.223,563.981,1564.178,3457.231,4574.941,1988.594,947.714,627.651,4254.777,4467.854,1212.065,5620.702
09/01/2022 21:00:00,7314.755,956.340,956.635,203.386,393.230,2919.043,585.630,1619.159,3500.475,4422.224,2004.166,962.569,646.599,4314.439,4538.567,1200.342,5689.804
09/01/2022 22:00:00,7079.552,944.418,929.332,209.868,387.957,2936.657,614.730,1625.322,3539.532,4354.526,2091.113,976.978,641.806,4374.662,4541.039,1220.853,5686.912
09/01/2022 23:00:00,6783.050,923.208,911.089,209.815,380.172,2876.382,621.577,1609.683,3536.604,4323.425,2130.967,967.503,620.517,4369.657,4497.542,1226.634,5570.894
09/02/2022 00:00:00,6553.890,885.220,895.320,199.354,367.859,2763.949,610.211,1555.721,3538.250,4270.631,2103.270,964.147,594.164,4307.599,4467.080,1237.539,5443.751
09/02/2022 01:00:00,6364.365,857.647,885.326,188.366,352.336,2635.692,579.627,1489.819,3467.570,4253.948,2017.170,919.984,569.704,4219.551,4392.621,1319.120,5232.512
